Name,Reaction,Category,Sentiment,market_cap,image
Dry Ridge Farms,"I own Dry Ridge Farm in Madison County in Western North Carolina.

It will affect us on everything from fertilizer to construction materials to tractors, new equipment, but not just new equipment, like tractor parts. All farmers do their own maintenance on their equipment.",Small Business,Neutral,0.1,images/dry_ridge_farm.svg
Culture Wine Co,"I'm the founder of Culture Wine Co., an importer, wholesaler, and focused on South African wine.

Right now, I have a container that's leaving South Africa. That alone will probably be tariffed just because I missed it by about a seven-hour window to get it out.",Small Business,Negative,0.1,images/culture_wine.svg
American Made Apparel,"I own and manage American Made Apparel, which is a Denver-based cut-and-sew factory.

I would say tariffs, for the most part, have been, for me, in the immediate realm, more detrimental because I source a lot of my materials, threads, and notions from China. I do feel like it's going to cause us to get more inquiries that potentially will land bigger accounts in the future. They do affect my costs initially, but I'm hoping that, in the long run, people will realize keeping manufacturing in the U.S. will actually be a better thing for the long run and also for them to be able to offer an American-made line.

",Small Business,Positive,0.1,images/american_made.svg
Haand Ceramics,"I'm the co-founder and president of Haand Ceramics in Burlington, North Carolina.

We work with a handful of restaurants and hotels in Canada currently or have been. Unfortunately, the Canadian business that we have has completely gone away, and the Canadian companies that we have been working with for many years are no longer interested in buying our products solely because we're an American company.",Small Business,Negative,0.1,images/haand.svg
General Motors,"The company withdrew its 2025 financial guidance on Tuesday, including pausing a $4 billion stock buyback due to anticipated losses from auto tariffs. In an internal company memo at the end of March, leadership said it planned to keep the company “nimble based on any tariffs announcements by the U.S. administration.”",Automotive,Negative,43.55,images/gm.svg
Stellantis,"It has withdrawn its full-year 2025 financial guidance after reporting a 14% year-over-year drop in Q1 revenue, citing uncertainties surrounding U.S. tariff policy under Trump. In response to newly imposed 25% tariffs, the automaker is pausing production at plants in Canada and Mexico and temporarily laying off 900 workers in Michigan and Indiana.",Automotive,Negative,27.27,images/stellantis.svg
Ford,"CEO Jim Farley announced an extension of the company’s “employee pricing,” a pass-on of employee discounts to regular customers, through July Fourth to ease consumer concerns over rising vehicle costs amid new auto tariffs. While Farley expressed hope that Ford’s higher share of U.S. manufacturing could be a competitive advantage, he acknowledged that tariffs on imported vehicles and auto parts will likely increase production costs, and potentially consumer prices, later this year.",Automotive,Neutral,40.88,images/ford.svg
Tesla,"In response to retaliatory Canadian tariffs triggered by U.S. auto trade policies, Tesla raised the prices of its entire model lineup in Canada by 13% to 22%, with increases ranging from CA$10,000 ($7,254) to CA$30,000 ($21,762). The hikes only apply to new imports from the U.S., while existing inventory remains at previous prices. The move comes amid declining sales in Canada, fueled by political backlash, a growing consumer boycott of U.S. goods and Tesla’s loss of eligibility for many federal electric vehicle incentives.",Automotive,Negative,925.09,images/tesla.svg
Walmart,"Sources reported Tuesday that Walmart has instructed some Chinese suppliers to resume shipments, signaling confidence in a potential de-escalation of the trade war. The retailer has committed to absorbing the added tariff costs itself, easing the financial burden on suppliers.",Retail & Consumer Goods,Neutral,790.08,images/walmart.svg
Procter & Gamble,"The company lowered its annual sales forecast after noticing a slowdown in consumer spending in the U.S. and Europe, which it attributed in part to economic uncertainty fueled by Trump’s trade war. While the direct cost impact of tariffs on P&G’s operations was relatively small, estimated between $100 million and $160 million, executives warned that tariffs are inherently inflationary and will likely lead to higher prices. The company is also exploring alternative sourcing strategies as it evaluates the longer-term effects of the ongoing trade tensions.",Retail & Consumer Goods,Negative,376.35,images/pg.svg
