Series ID,Year,Period,Label,Value
CUSR0000SS30021,2015,M01,2015 Jan,100.772
CUSR0000SS30021,2015,M02,2015 Feb,101.501
CUSR0000SS30021,2015,M03,2015 Mar,101.408
CUSR0000SS30021,2015,M04,2015 Apr,101.037
CUSR0000SS30021,2015,M05,2015 May,100.091
CUSR0000SS30021,2015,M06,2015 Jun,99.961
CUSR0000SS30021,2015,M07,2015 Jul,98.308
CUSR0000SS30021,2015,M08,2015 Aug,99.226
CUSR0000SS30021,2015,M09,2015 Sep,99.680
CUSR0000SS30021,2015,M10,2015 Oct,99.280
CUSR0000SS30021,2015,M11,2015 Nov,98.575
CUSR0000SS30021,2015,M12,2015 Dec,97.436
CUSR0000SS30021,2016,M01,2016 Jan,96.699
CUSR0000SS30021,2016,M02,2016 Feb,96.262
CUSR0000SS30021,2016,M03,2016 Mar,97.285
CUSR0000SS30021,2016,M04,2016 Apr,96.920
CUSR0000SS30021,2016,M05,2016 May,94.723
CUSR0000SS30021,2016,M06,2016 Jun,94.858
CUSR0000SS30021,2016,M07,2016 Jul,92.413
CUSR0000SS30021,2016,M08,2016 Aug,90.269
CUSR0000SS30021,2016,M09,2016 Sep,92.130
CUSR0000SS30021,2016,M10,2016 Oct,89.777
CUSR0000SS30021,2016,M11,2016 Nov,87.073
CUSR0000SS30021,2016,M12,2016 Dec,90.915
CUSR0000SS30021,2017,M01,2017 Jan,94.138
CUSR0000SS30021,2017,M02,2017 Feb,93.204
CUSR0000SS30021,2017,M03,2017 Mar,92.971
CUSR0000SS30021,2017,M04,2017 Apr,91.678
CUSR0000SS30021,2017,M05,2017 May,92.404
CUSR0000SS30021,2017,M06,2017 Jun,90.169
CUSR0000SS30021,2017,M07,2017 Jul,87.142
CUSR0000SS30021,2017,M08,2017 Aug,87.476
CUSR0000SS30021,2017,M09,2017 Sep,88.143
CUSR0000SS30021,2017,M10,2017 Oct,89.328
CUSR0000SS30021,2017,M11,2017 Nov,84.149
CUSR0000SS30021,2017,M12,2017 Dec,86.228
CUSR0000SS30021,2018,M01,2018 Jan,90.708
CUSR0000SS30021,2018,M02,2018 Feb,86.107
CUSR0000SS30021,2018,M03,2018 Mar,86.280
CUSR0000SS30021,2018,M04,2018 Apr,94.180
CUSR0000SS30021,2018,M05,2018 May,100.191
CUSR0000SS30021,2018,M06,2018 Jun,102.001
